ID,stim_ID,response
ex_f,28,-1
ex_f,237,-1
ex_f,147,-1
ex_f,243,-1
ex_f,123,1
ex_f,35,1
ex_f,221,1
ex_f,230,1
ex_f,132,1
ex_f,29,1
ex_f,251,1
ex_f,82,1
ex_f,208,-1
ex_f,153,-1
ex_f,260,-1
ex_f,85,-1
ex_f,296,-1
ex_f,165,1
ex_f,286,-1
ex_f,257,1
ex_f,164,-1
ex_f,77,1
ex_f,239,1
ex_f,248,-1
ex_f,98,-1
ex_f,212,-1
ex_f,219,1
ex_f,187,-1
ex_f,83,-1
ex_f,281,-1
ex_f,173,1
ex_f,298,-1
ex_f,54,-1
ex_f,280,1
ex_f,214,-1
ex_f,52,-1
ex_f,254,1
ex_f,133,-1
ex_f,244,1
ex_f,149,-1
ex_f,155,1
ex_f,108,-1
ex_f,59,-1
ex_f,22,-1
ex_f,75,1
ex_f,10,-1
ex_f,109,-1
ex_f,48,1
ex_f,178,1
ex_f,97,1
ex_f,229,-1
ex_f,225,1
ex_f,62,-1
ex_f,197,-1
ex_f,118,1
ex_f,100,1
ex_f,125,-1
ex_f,42,1
ex_f,56,1
ex_f,93,-1
ex_f,284,-1
ex_f,227,1
ex_f,25,1
ex_f,94,-1
ex_f,69,-1
ex_f,211,1
ex_f,47,1
ex_f,81,1
ex_f,141,-1
ex_f,166,-1
ex_f,2,1
ex_f,122,-1
ex_f,240,1
ex_f,287,1
ex_f,259,-1
ex_f,291,1
ex_f,220,1
ex_f,115,1
ex_f,38,1
ex_f,34,1
ex_f,238,-1
ex_f,143,1
ex_f,86,-1
ex_f,207,1
ex_f,252,-1
ex_f,130,1
ex_f,145,1
ex_f,23,1
ex_f,258,-1
ex_f,255,1
ex_f,1,1
ex_f,265,1
ex_f,50,-1
ex_f,91,1
ex_f,274,1
ex_f,24,-1
ex_f,292,1
ex_f,8,-1
ex_f,95,1
ex_f,224,-1
ex_f,57,1
ex_f,3,1
ex_f,268,-1
ex_f,110,-1
ex_f,195,-1
ex_f,105,1
ex_f,119,-1
ex_f,43,1
ex_f,267,-1
ex_f,168,1
ex_f,184,1
ex_f,84,1
ex_f,282,1
ex_f,272,1
ex_f,106,1
ex_f,49,1
ex_f,270,1
ex_f,179,1
ex_f,150,-1
ex_f,199,-1
ex_f,107,1
ex_f,185,-1
ex_f,88,-1
ex_f,15,-1
ex_f,40,-1
ex_f,167,1
ex_f,297,1
ex_f,171,1
ex_f,14,-1
ex_f,116,1
ex_f,186,1
ex_f,65,1
ex_f,60,1
ex_f,27,1
ex_f,16,1
ex_f,202,-1
ex_f,66,-1
ex_f,17,-1
ex_f,256,-1
ex_f,114,1
ex_f,294,1
ex_f,180,1
ex_f,209,1
ex_f,32,-1
ex_f,299,1
ex_f,162,-1
ex_f,181,-1
ex_f,247,-1
ex_f,129,-1
ex_f,142,-1
ex_f,30,1
ex_f,201,-1
ex_f,120,-1
ex_f,61,1
ex_f,170,1
ex_f,157,1
ex_f,215,1
ex_f,277,1
ex_f,264,1
ex_f,89,-1
ex_f,182,-1
ex_f,275,1
ex_f,198,1
ex_f,21,-1
ex_f,102,1
ex_f,192,1
ex_f,67,1
ex_f,11,1
ex_f,232,-1
ex_f,189,-1
ex_f,242,1
ex_f,146,1
